SARL_plateID,Expt_ID,Chemical_name,Microbiome_treat,BaP_uM,Sample,Extract_batch,Expt_plateID,Sample_well,Sample_row,Sample_col,Tube,CD1,Dissector,Dissect_result
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1E06,9,1,E06,E,6,Lot163,Lot663,Michael,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G06,9,1,G06,G,6,Lot163,Lot663,Michael,whole
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2A06,9,2,A06,A,6,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2C06,9,2,C06,C,6,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2F06,9,2,F06,F,6,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2H06,9,2,H06,H,6,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3B05,9,3,B05,B,5,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3B06,9,3,B06,B,6,Lot163,Lot663,Michael,partial
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3D05,9,3,D05,D,5,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3D06,9,3,D06,D,6,Lot163,Lot663,Michael,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3F05,9,3,F05,F,5,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3H05,9,3,H05,H,5,Lot163,Lot663,Austin,partial
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4B05,9,4,B05,B,5,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4D05,9,4,D05,D,5,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4F05,9,4,F05,F,5,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4H05,9,4,H05,H,5,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5B05,9,5,B05,B,5,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5D05,9,5,D05,D,5,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5F05,9,5,F05,F,5,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5H05,9,5,H05,H,5,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6B05,9,6,B05,B,5,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6D05,9,6,D05,D,5,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6F05,9,6,F05,F,5,Lot163_1,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1D06,10,1,D06,D,6,Lot163,Lot663,Michael,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1F06,10,1,F06,F,6,Lot163,Lot663,Michael,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1H06,10,1,H06,H,6,Lot163,Lot663,Michael,partial
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2B06,10,2,B06,B,6,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2E06,10,2,E06,E,6,Lot163,Lot663,Keaton,whole
