"conc","well","chemical.id","plate.id","Interval","Movement"
" 0","B09","1174","19737","R",0
" 0","B10","1174","19737","R",0
" 0","B11","1174","19737","R",0
" 0","B12","1174","19737","R",0
" 0","A01","1174","19738","R",0
" 0","A02","1174","19738","R",0.3689233984375
" 0","A03","1174","19738","R",0.1057941953125
" 0","A04","1174","19738","R",0.002712671875
" 0","A05","1174","19738","R",0
" 0","A06","1174","19738","R",0.5235461875
" 0","A07","1174","19738","R",0
" 0","A08","1174","19738","R",0.6863061484375
" 0","A09","1174","19738","R",0
" 0","A10","1174","19738","R",0
" 0","A11","1174","19738","R",0
" 0","A12","1174","19738","R",0.0434027734375
" 0","B01","1174","19738","R",0
" 0","B02","1174","19738","R",0.69715728125
" 0","B03","1174","19738","R",0
" 0","B04","1174","19738","R",0
" 0","B05","1174","19738","R",0
" 0","B06","1174","19738","R",0
" 0","B07","1174","19738","R",0
" 0","B08","1174","19738","R",0
" 0","B09","1174","19738","R",0
" 0","B10","1174","19738","R",0
" 0","B11","1174","19738","R",0.2468534375
" 0","B12","1174","19738","R",0
" 0","A01","1174","19842","R",0
" 0","A02","1174","19842","R",0
" 0","A04","1174","19842","R",0
" 0","A05","1174","19842","R",0
" 0","A08","1174","19842","R",0
" 0","A09","1174","19842","R",0
" 0","A10","1174","19842","R",0.065104296875
" 0","A11","1174","19842","R",0.7514107734375
" 0","A12","1174","19842","R",0
" 0","B01","1174","19842","R",0
" 0","B03","1174","19842","R",0
" 0","B04","1174","19842","R",0
" 0","B05","1174","19842","R",0
" 0","B07","1174","19842","R",0.002712671875
" 0","B09","1174","19842","R",0
" 0","B11","1174","19842","R",0
" 0","B12","1174","19842","R",0
" 0","A01","1174","19843","R",0
" 0","A02","1174","19843","R",0
" 0","A03","1174","19843","R",0
" 0","A04","1174","19843","R",0
" 0","A05","1174","19843","R",0
" 0","A06","1174","19843","R",0
" 0","A07","1174","19843","R",0.002712671875
" 0","A10","1174","19843","R",0
" 0","A12","1174","19843","R",0
